CorrectClone	OldClone	matched_mother	matched_father
26253	25729	2048	2572
26255	25731	2048	2572
26256	25732	2048	2572
26367	25843	2066	2572
26370	25846	2066	2572
26373	25849	2066	2572
26378	25854	2066	2572
26382	25858	2066	2572
26385	25861	2066	2572
26386	25862	2066	2572
26393	25869	2066	2572
26394	25870	2066	2572
26395	25871	2066	2572
26396	25872	2066	2572
26399	25875	2066	2572
26402	25878	2066	2572
26403	25879	2066	2572
26406	25882	2066	2572
26413	25889	2066	2572
26415	25891	2066	2572
26419	25895	2066	2572
26517	25993	2283	2572
26518	25994	2283	2572
26519	25995	2283	2572
26520	25996	2283	2572
26521	25997	2283	2572
26523	25999	2283	2572
26524	26000	2283	2572
26525	26001	2283	2572
26625	26101	2283	2572
26629	26105	2283	2572
26631	26107	2283	2572
26634	26110	2283	2572
26635	26111	2283	2572
26636	26112	2283	2572
26637	26113	2283	2572
26640	26116	2283	2572
26641	26117	2283	2572
26643	26119	2283	2572
26644	26120	2283	2572
26648	26124	2283	2572
26649	26125	2283	2572
26652	26128	2283	2572
26654	26130	2283	2572
26655	26131	2283	2572
26658	26134	2283	2572
26659	26135	2283	2572
26661	26137	4593	2572
26663	26139	4593	2572
26666	26142	4593	2572
26671	26147	4593	2572
26672	26148	4593	2572
26675	26151	4593	2572
26676	26152	4593	2572
26677	26153	4593	2572
26678	26154	4593	2572
26680	26156	4593	2572
26685	26161	4593	2572
26686	26162	4593	2572
26688	26164	4593	2572
26691	26167	4593	2572
26695	26171	4593	2572
27122	26598	1863	2683
27124	26600	1863	2683
27126	26602	1863	2683
27127	26603	1863	2683
27129	26605	1863	2683
27130	26606	1863	2683
27131	26607	1863	2683
27132	26608	1863	2683
27134	26610	1863	2683
27135	26611	1863	2683
27136	26612	1863	2683
27137	26613	1863	2683
27139	26615	1863	2683
27140	26616	1863	2683
27144	26620	1863	2683
27147	26623	1863	2683
27148	26624	1863	2683
27149	26625	1863	2683
27322	26798	1863	2683
26039	25515	1909	2683
